hoc_sinh,mon_hoc,diem
Đỗ Thị Oanh,hoa,
Ksor Nam,toan,5.4
Đỗ Thị Oanh,van,6.3
Phạm Thị Duyên,anh,6.3
Trần Văn Tài,toan,5.7
Phạm Thị Duyên,hoa,
Đinh Thị Giang,toan,7.1
A Quang,toan,8.0
Nguyễn Văn An,anh,6.9
Nguyễn Văn An,hoa,7.2
Đỗ Thị Oanh,anh,6.0
Hoàng Văn Em,toan,5.4
Bùi Thị Kim,anh,7.5
Ksor Nam,van,5.6
A Quang,toan,5.2
Lê Minh Cường,toan,6.8
Lê Minh Cường,anh,7.0
Học Sinh Chuyển Trường,van,8.1
Kpuih Phúc,hoa,8.3
Ksor Nam,anh,7.7
A Quang,anh,6.2
Ksor Nam,van,6.5
Hoàng Văn Em,hoa,7.4
Trần Văn Tài,anh,6.3
Siu H'Mai,toan,9.1
Nguyễn Thị Sương,van,5.0
Trần Thị Bình,hoa,8.0
Trần Thị Bình,anh,6.7
Nguyễn Thị Sương,anh,6.7
Đỗ Thị Oanh,van,7.7
Bùi Thị Kim,van,6.7
A Quang,toan,7.8
Trần Thị Bình,van,10.0
Đỗ Thị Oanh,hoa,5.6
Trần Văn Tài, hoa,7.7
Trần Văn Tài,toan,5.6
Kpuih Phúc,anh,8.3
A Quang,van,10.0
Học Sinh Chuyển Trường,toan,4.3
Nguyễn Văn An,van,7.3
Bùi Thị Kim,hoa,6.5
Trần Văn Tài,anh,5.5
Siu H'Mai,van,6.1
Trần Thị Bình,hoa,7.6
Trần Văn Tài,van,7.3
Hoàng Văn Em,hoa,5.1
Trần Thị Bình,anh,7.1
Kpuih Phúc,anh,6.6
A Quang,hoa,8.0
Đinh Thị Giang,anh,8.4
Lê Minh Cường,van,6.2
Ksor Nam,toan,7.5
Hoàng Văn Em,anh,8.4
Bùi Thị Kim,anh,6.5
Lê Minh Cường,toan,5.6
Siu H'Mai,hoa,5.3
Trần Thị Bình,anh,9.0
Trần Văn Tài,anh,
Phạm Thị Duyên,toan,6.3
Hoàng Văn Em,van,6.9
Nguyễn Văn An,van,5.8
Trần Văn Tài,van,6.7
Trần Văn Tài,hoa,8.4
Nguyễn Thị Sương,van,6.1
Kpuih Phúc,van,4.3
Lê Minh Cường,hoa,6.5
Trần Thị Bình,hoa,7.4
Ksor Nam,van,7.5
Kpuih Phúc,toan,6.2
Phạm Thị Duyên,toan,6.0
A Quang,hoa,5.5
Nguyễn Thị Sương,van,5.4
Bùi Thị Kim,hoa,5.7
Trần Văn Tài,hoa,7.5
Ksor Nam,van,8.2
Nguyễn Văn An,hoa,6.5
Phạm Thị Duyên,ANH,5.7
Kpuih Phúc,van,7.3
Đỗ Thị Oanh,toan,8.2
Ksor Nam,toan,7.3
Hoàng Văn Em,toan,10.0
Bùi Thị Kim,anh,8.6
Kpuih Phúc,anh,7.5
Lê Minh Cường,van,6.0
A Quang,toan,8.5
Nguyễn Văn An,hoa,8.0
Lê Minh Cường,van,7.7
Trần Văn Tài,hoa,8.1
Vũ Văn Hải,hoa,7.6
Bùi Thị Kim,toan,7.5
Trần Văn Tài,toan,6.5
Bùi Thị Kim,toan,5.2
Bùi Thị Kim,toan,7.5
Ksor Nam,hoa,6.5
Vũ Văn Hải,anh,6.4
Bùi Thị Kim,anh,6.5
Hoàng Văn Em,toan,5.8
Ksor Nam,van,8.0
Rơ Chăm Long,van,7.0
Đinh Thị Giang,hoa,5.0
Ksor Nam,anh,7.9
Vũ Văn Hải,van,5.0
Bùi Thị Kim,hoa,8.6
Lê Minh Cường,anh,7.3
Lê Minh Cường,hoa,7.2
Nguyễn Văn An,toan,5.4
Rơ Chăm Long,anh,5.3
Trần Văn Tài,hoa,7.1
Ksor Nam,anh,8.1
Đỗ Thị Oanh,toan,8.2
Trần Thị Bình,toan,8.5
A Quang,toan,9.6
Lê Minh Cường,toan,6.5
Nguyễn Thị Sương,van,4.5
A Quang,hoa,
Lê Minh Cường,hoa,8.0
Kpuih Phúc,toan,6.2
Ksor Nam,hoa,6.5
A Quang,van,7.0
Kpuih Phúc,toan,6.9
Rơ Chăm Long,hoa,6.1
Đinh Thị Giang,van,7.9
Nguyễn Văn An,hoa,7.3
Nguyễn Văn An,toan,8.0
Hoàng Văn Em,toan,6.8
Trần Văn Tài,toan,7.9
Vũ Văn Hải,van,5.7
Ksor Nam,hoa,5.5
Phạm Thị Duyên,anh,7.0
Lê Minh Cường,hoa,8.9
Hoàng Văn Em, hoa,9.2
Lê Minh Cường,anh,5.8
Vũ Văn Hải,toan,7.1
Ksor Nam,anh,6.8
Nguyễn Văn An,toan,7.0
Trần Văn Tài,toan,9.2
Đinh Thị Giang,anh,8.4
Lê Minh Cường,toan,7.7
Trần Văn Tài,hoa,6.3
Kpuih Phúc,van,
A Quang,toan,7.6
Trần Văn Tài,anh,9.0
Trần Thị Bình,hoa,6.2
Trần Văn Tài,van,7.1
Kpuih Phúc,hoa,8.7
Phạm Thị Duyên,toan,6.1
Phạm Thị Duyên,hoa,8.9
A Quang,hoa,10.0
Trần Văn Tài,anh,5.3
Nguyễn Văn An,van,7.2
Bùi Thị Kim,toan,5.5
Nguyễn Thị Sương,toan,8.4
Hoàng Văn Em,toan,7.8
Nguyễn Thị Sương,hoa,7.1
Phạm Thị Duyên,hoa,5.8
Trần Văn Tài,toan,7.2
Nguyễn Thị Sương,toan,6.0
Kpuih Phúc,hoa,5.3
Hoàng Văn Em,anh,6.0
Hoàng Văn Em,anh,5.6
Phạm Thị Duyên,van,6.6
Trần Thị Bình,van,7.9
Đinh Thị Giang,van,6.9
Lê Minh Cường,van,5.8
Lê Minh Cường,hoa,6.0
Vũ Văn Hải,anh,4.6
Trần Văn Tài,van,8.7
Phạm Thị Duyên,toan,7.5
Trần Văn Tài,Toán,4.8
Lê Minh Cường,van,6.8
Vũ Văn Hải,toan,4.9
Đinh Thị Giang,toan,6.9
Lê Minh Cường,anh,5.5
Đinh Thị Giang,toan,6.4
A Quang,anh,6.8
A Quang,van,5.1
Vũ Văn Hải,toan,5.6
Lê Minh Cường,toan,5.2
Bùi Thị Kim,van,4.7
Vũ Văn Hải,hoa,7.5
A Quang,hoa,6.7
Học Sinh Chuyển Trường,anh,7.9
Nguyễn Văn An,anh,5.9
Phạm Thị Duyên,van,10.0
Hoàng Văn Em,anh,5.7
Trần Thị Bình,van,7.7
Đinh Thị Giang,van,8.4
Nguyễn Văn An,anh,7.0
Đinh Thị Giang,anh,5.5
Trần Văn Tài,ANH,7.8
Trần Văn Tài,van,9.5
Đinh Thị Giang,toan,7.7
Phạm Thị Duyên,hoa,5.7
Kpuih Phúc,anh,6.6
Vũ Văn Hải,van,8.2
Hoàng Văn Em,anh,6.5
Hoàng Văn Em,hoa,6.1
Phạm Thị Duyên,van,7.1
Nguyễn Văn An,toan,7.6
Đinh Thị Giang,hoa,5.6
Đinh Thị Giang,van,9.1
Trần Thị Bình,Toán,9.2
