id,ho_ten,lop,ngay_sinh,tuoi,gioi_tinh,hang
114,Đinh Đức Giang,11A2,02/08/2007,17.0,Nam, khá
91,Nguyễn Thành Duy,10A2,08/10/2007,17.0,Nữ,Trung bình
12,  Hoàng Văn Long  ,10A3,03/02/2008,16.0,Nam,Trung bình
59,Đinh Thị Bình,10A2,11/05/2009,15.0,Nữ,Giỏi
84,  Bùi Ngọc Vy  ,10A1,04/12/2008,16.0,Nam,Giỏi
13,Đinh Thành Long,11A1,27/08/2009,15.0,Nữ,Giỏi
3,Đỗ Long,12A1,,,Nam,Khá
122,Đỗ Giang,10A2,04/10/2008,16.0,Nam,TB
109,Đinh Ngọc Duy,11A2,10/09/2008,16.0,Nữ,Giỏi
100,Đỗ Thị Vy,10A3,03/12/2009,,Nam,Yếu
7,A Văn Tú,11A1,03/07/2008,16.0,Nam,Khá
118,Vũ Quân,11A1,11/09/2007,17.0,Nữ,Khá
127,A Văn Duy,10A3,28/05/2008,16.0,Nam,Giỏi
57,Đinh Ngọc Lan,10A1,05/07/2007,17.0,Nữ,Khá
123,Lê Thị Vy,11A2,08/05/2007,17.0,Nam,Khá
106,Kpuih Thị Nam,11A1,07/11/2007,17.0,Nữ,Trung bình
66,Rơ Chăm Văn Giang,11A1,11/01/2008,16.0,Nam,
56,Kpuih Văn Nam,10A1,13/11/2009,15.0,Nam,Trung bình
76,Lê Thành Em,12A1,10/06/2009,15.0,Nam,Trung bình
79,Siu Thành Mai,10A2,11/12/2009,15.0,Nam,Khá
47,Đỗ Long,10A2,21/09/2009,15.0,Nam,Giỏi
63,Kpuih Thị Vy,11A2,06/07/2007,17.0,Nam,Yếu
112,Đinh Ngọc Sơn,10A1,08/03/2009,15.0,Nam,Trung bình
119,Nguyễn Thành Bình,10A3,13/12/2008,16.0,Nữ,Yếu
96,Kpuih Em,12A1,17/05/2009,15.0,Nam,Giỏi
85,Đinh Thị Đức Duy,12A1,23/04/2008,16.0,Nữ,Khá
11,Nguyễn Minh Giang,11A1,19/11/2009,15.0,Nam,Giỏi
35,Đinh Thị Minh Duy,12A1,04/12/2009,15.0,Nữ,Giỏi
33,Đinh Uyên,11A2,28/07/2007,17.0,Nam,Trung bình
120,A Thị Kiên,10A1,28/09/2007,17.0,Nam,Khá
39,Vũ Cường,10A2,27/05/2009,15.0,Nam,
115,Đinh Thị Hữu Long,11A2,07/03/2007,17.0,Nam,Gioi
52,Trần Hữu Vy,10A3,,,Nữ,Khá
28,Hoàng Đức Duy,11A1,13/07/2007,17.0,Nữ,Giỏi
24,Bùi Văn Mai,11a2,23/04/2007,17.0,Nữ,
68,Siu Em,10A2,20/01/2007,17.0,Nam,Trung bình
10,Đỗ Thị Phúc,11A1,28/05/2007,17.0,Nữ,Khá
126,Ksor Thành Tú,10A1,07/09/2009,15.0,Nam,Trung bình
93,Vũ Hữu Nam,12A1,28/08/2007,17.0,Nam,Giỏi
101,Đỗ Duy,12A1,23/12/2008,16.0,Nữ,Khá
129,Phạm Mai,10A3,04/09/2009,15.0,Nam,Khá
88,Đinh Thị Văn Uyên,10A3,14/07/2007,17.0,Nam,Trung bình
136,Bùi Minh Yến,11A2,20/04/2007,17.0,Nam,Trung bình
105,Đỗ Văn Sơn,11A2,02/04/2007,17.0,Nam,
65,Hoàng Lan,11A2,24/12/2009,15.0,Nam,Trung bình
16,Siu Hữu Lan,11A1,10/08/2009,,Nam,Trung bình
83,Hoàng Văn Kiên,11a2,10/10/2007,17.0,Nữ,
42,Đỗ Yến,10A1,03/03/2009,15.0,Nữ,Trung bình
81,Đỗ Kiên,10A1,12/01/2008,5.0,Nữ, khá
53,Phạm Đức Giang,10A3,02/10/2007,17.0,Nữ,
27,Đỗ Minh Yến,10A3,12/08/2007,17.0,Nam,Khá
77,Đinh Duy,11A1,03/09/2007,17.0,Nữ,Khá
44,  Trần Minh Quân  ,11a2,23/03/2008,16.0,Nam,Khá
25,Nguyễn Thành Mai,10A2,06/09/2007,17.0,Nữ,Trung bình
132,Kpuih Minh Kiên,10A2,06/01/2009,15.0,Nam,Giỏi
111,Nguyễn Minh Cường,10A2,23/07/2009,15.0,Nam,Trung bình
125,A Thành Mai,10A3,07/04/2008,16.0,Nam,Khá
50,Ksor Hữu Vy,12A1,22/11/2008,16.0,Nam,Trung bình
22,Rơ Chăm Văn Long,12A1,,,Nam,Khá
71,A Ngọc Uyên,11A2,20/05/2008,16.0,Nam,Giỏi
4,  Rơ Chăm Văn Sơn  ,10A3,08/09/2007,17.0,Nữ,Khá
117,Siu Văn Em,11A1,,,Nam,Khá
31,Lê Văn Duy,11A1,21/11/2009,15.0,Nam,Trung bình
47,Lê Uyên,12A1,,,Nam,Yếu
107,A Hữu Long,10A1,11/12/2009,15.0,Nam,Khá
48,Rơ Chăm Em,10A2,06/06/2009,15.0,Nữ,Khá
116,  Đỗ Thị Yến  ,11A1,09/03/2009,15.0,Nữ,Khá
14,Lê Ngọc Kiên,11A2,24/03/2007,17.0,Nam,Giỏi
89,Đinh Thị Hữu Giang,10A3,10/09/2008,,Nam,Trung bình
9,Vũ Giang,12A1,07/09/2008,16.0,Nam,trung bình 
82,Siu Oanh,11A1,06/10/2009,15.0,Nữ,GIỎI
61,Nguyễn Thị Long,10A1,13/08/2008,16.0,Nam,Khá
1,Vũ Sơn,11A1,06/04/2009,15.0,Nữ,Khá
2,Kpuih Đức Duy,11A1,26/09/2007,17.0,Nam, khá
58,Kpuih Đức Phúc,10A2,10/06/2007,17.0,Nam, khá
23,Hoàng Hữu Nam,11A1,15/10/2009,15.0,Nam,Khá
62,Nguyễn Thị Lan,10A3,18/09/2008,5.0,Nam,Khá
64,Bùi Long,10A1,10/07/2008,16.0,Nữ,Trung bình
8,  Hoàng Thành Cường  ,10A3,05/02/2008,16.0,Nam,
87,A Văn Quân,12A1,27/07/2007,17.0,Nữ,Trung bình
97,Lê Văn Hà,10A2,09/06/2007,,Nam,
69,Nguyễn Thành Uyên,10A2,22/03/2008,16.0,Nữ,Khá
51,Đinh Thị Thành Oanh,10A1,17/06/2009,15.0,Nam,Khá
102,Vũ Văn Hà,11A2,18/07/2009,15.0,Nữ,Khá
21,A Đức Nam,10a3,28/02/2008,16.0,Nam,Yếu
26,Vũ Kiên,10A3,21/04/2008,16.0,Nam,Trung bình
135,Kpuih Đức Duy,11A2,18/08/2009,15.0,Nam,Trung bình
72,  Kpuih Minh Hà  ,10A2,,,Nam,Giỏi
130,A Đức Kiên,10A3,15/02/2009,15.0,Nữ,Khá
80,Vũ Long,12A1,26/09/2008,16.0,Nữ,Trung bình
134,Vũ Văn Uyên,10A3,17/11/2009,15.0,Nam,Khá
138,Ksor Văn Cường,10A1,18/11/2009,15.0,Nam,Giỏi
73,Hoàng Hữu An,11a2,,,Nam,Giỏi
98,Đỗ Oanh,12A1,,,Nam,Trung bình
38,A Đức Tú,10A2,27/09/2009,15.0,Nữ,Giỏi
